item_id,order_id,product_id,quantity,unit_price,line_total
85,ORD00036,PROD0046,3,5762.47,17287.41
86,ORD00036,PROD0238,4,6026.76,24107.04
87,ORD00036,PROD0196,3,2511.26,7533.78
88,ORD00037,PROD0246,4,5399.76,21599.04
89,ORD00037,PROD0141,4,11608.58,46434.32
90,ORD00037,PROD0049,3,27088.42,81265.26
91,ORD00037,PROD0093,5,8480.78,42403.90
92,ORD00037,PROD0197,2,113579.08,227158.16
93,ORD00038,PROD0275,5,10193.83,50969.15
94,ORD00039,PROD0107,1,97418.23,97418.23
95,ORD00040,PROD0066,5,36291.81,181459.05
96,ORD00041,PROD0279,2,962.48,1924.96
97,ORD00042,PROD0151,5,24271.64,121358.20
98,ORD00042,PROD0274,4,7846.95,31387.80
99,ORD00042,PROD0228,3,6170.81,18512.43
100,ORD00042,PROD0072,5,43142.24,215711.20
101,ORD00043,PROD0023,1,276589.43,276589.43
102,ORD00043,PROD0122,2,16203.67,32407.34
103,ORD00044,PROD0143,5,13171.72,65858.60
104,ORD00044,PROD0066,4,36291.81,145167.24
105,ORD00045,PROD0074,2,13460.87,26921.74
106,ORD00045,PROD0275,1,10193.83,10193.83
107,ORD00046,PROD0262,2,3172.89,6345.78
108,ORD00046,PROD0084,3,37258.14,111774.42
109,ORD00046,PROD0215,4,3385.48,13541.92
110,ORD00047,PROD0034,1,272513.12,272513.12
111,ORD00047,PROD0169,3,41598.42,124795.26
112,ORD00048,PROD0064,1,34644.88,34644.88
113,ORD00048,PROD0090,5,102715.97,513579.85
114,ORD00048,PROD0270,3,907.09,2721.27
115,ORD00048,PROD0157,5,10758.03,53790.15
116,ORD00048,PROD0251,3,5175.86,15527.58
117,ORD00049,PROD0273,5,1784.35,8921.75
118,ORD00050,PROD0263,2,8199.23,16398.46
119,ORD00051,PROD0190,2,22778.54,45557.08
120,ORD00051,PROD0128,4,24463.34,97853.36
121,ORD00051,PROD0215,3,3385.48,10156.44
122,ORD00051,PROD0235,4,1609.74,6438.96
123,ORD00052,PROD0045,3,15761.34,47284.02
124,ORD00053,PROD0048,1,10843.12,10843.12
125,ORD00053,PROD0085,3,89243.32,267729.96
126,ORD00053,PROD0030,5,253935.11,1269675.55
127,ORD00054,PROD0070,4,25905.43,103621.72
128,ORD00054,PROD0246,5,5399.76,26998.80
129,ORD00055,PROD0098,1,54814.26,54814.26
130,ORD00056,PROD0230,5,6077.64,30388.20
131,ORD00056,PROD0087,2,12717.02,25434.04
132,ORD00057,PROD0058,3,14691.81,44075.43
133,ORD00058,PROD0151,3,24271.64,72814.92
134,ORD00059,PROD0019,5,339524.65,1697623.25
135,ORD00059,PROD0238,4,6026.76,24107.04
136,ORD00060,PROD0096,4,179864.29,719457.16
137,ORD00061,PROD0250,2,4620.81,9241.62
138,ORD00061,PROD0004,3,39811.79,119435.37
139,ORD00062,PROD0056,2,6299.62,12599.24
140,ORD00062,PROD0225,3,9270.30,27810.90
141,ORD00062,PROD0083,4,160848.97,643395.88
142,ORD00063,PROD0102,4,45021.16,180084.64
143,ORD00064,PROD0205,5,,
144,ORD00065,PROD0177,5,102403.06,512015.30
145,ORD00066,PROD0149,4,8124.11,32496.44
146,ORD00066,PROD0145,1,22657.06,22657.06
147,ORD00067,PROD0059,3,35594.97,106784.91
148,ORD00068,PROD0258,5,4792.40,23962.00
149,ORD00068,PROD0093,2,8480.78,16961.56
150,ORD00068,PROD0097,2,9141.77,18283.54
151,ORD00069,PROD0103,1,83304.08,83304.08
152,ORD00069,PROD0047,4,5512.81,22051.24
153,ORD00070,PROD0219,1,14849.13,14849.13
154,ORD00071,PROD0025,2,330590.39,661180.78
155,ORD00072,PROD0130,3,1182.88,3548.64
156,ORD00072,PROD0252,3,8223.52,24670.56
157,ORD00073,PROD0186,5,17418.14,87090.70
158,ORD00074,PROD0055,2,42567.03,85134.06
159,ORD00075,PROD0099,1,130788.21,130788.21
160,ORD00075,PROD0229,5,4112.45,20562.25
161,ORD00075,PROD0051,5,33329.69,166648.45
162,ORD00076,PROD0099,4,130788.21,523152.84
163,ORD00077,PROD0061,1,6821.26,6821.26
164,ORD00077,PROD0224,4,607.93,2431.72
165,ORD00078,PROD0067,1,11627.77,11627.77
166,ORD00078,PROD0149,5,8124.11,40620.55
167,ORD00079,PROD0273,1,1784.35,1784.35
168,ORD00079,PROD0263,2,8199.23,16398.46
169,ORD00080,PROD0106,1,137481.28,137481.28
170,ORD00080,PROD0095,2,49921.23,99842.46
171,ORD00081,PROD0269,3,2989.48,8968.44
172,ORD00081,PROD0133,2,23616.92,47233.84
173,ORD00082,PROD0021,2,34405.68,68811.36
174,ORD00083,PROD0128,5,24463.34,122316.70
175,ORD00083,PROD0108,1,121332.02,121332.02
176,ORD00084,PROD0069,4,39168.98,156675.92
177,ORD00085,PROD0113,3,145706.19,437118.57
178,ORD00085,PROD0144,1,801.07,801.07
179,ORD00085,PROD0091,5,141135.80,705679.00
180,ORD00086,PROD0132,5,23990.67,119953.35
181,ORD00087,PROD0119,4,47472.78,189891.12
182,ORD00088,PROD0091,2,141135.80,282271.60
183,ORD00088,PROD0097,3,9141.77,27425.31
184,ORD00088,PROD0252,1,8223.52,8223.52
185,ORD00089,PROD0207,1,11561.20,11561.20
186,ORD00090,PROD0057,1,24240.82,24240.82
187,ORD00091,PROD0007,1,290642.30,290642.30
188,ORD00092,PROD0084,2,37258.14,74516.28
189,ORD00092,PROD0158,2,12650.30,25300.60
190,ORD00092,PROD0170,1,45302.42,45302.42
191,ORD00092,PROD0246,5,5399.76,26998.80
192,ORD00093,PROD0053,4,43609.38,174437.52
193,ORD00093,PROD0262,2,3172.89,6345.78
194,ORD00094,PROD0197,1,113579.08,113579.08
195,ORD00095,PROD0171,1,105588.96,105588.96
196,ORD00096,PROD0220,5,11275.57,56377.85
197,ORD00097,PROD0147,3,5055.12,15165.36
198,ORD00098,PROD0077,2,20510.26,41020.52
199,ORD00098,PROD0076,4,27116.85,108467.40
200,ORD00098,PROD0164,4,6702.72,26810.88
201,ORD00099,PROD0143,1,13171.72,13171.72
202,ORD00099,PROD0075,3,5182.19,15546.57
203,ORD00100,PROD0171,5,105588.96,527944.80
204,ORD00100,PROD0071,4,9870.56,39482.24
205,ORD00100,PROD0126,5,13544.05,67720.25
206,ORD00100,PROD0197,5,113579.08,567895.40
207,ORD00100,PROD0215,4,3385.48,13541.92
208,ORD00101,PROD0113,2,145706.19,291412.38
209,ORD00101,PROD0045,3,15761.34,47284.02
210,ORD00102,PROD0185,2,112356.62,224713.24
211,ORD00102,PROD0072,5,43142.24,215711.20
212,ORD00102,PROD0151,4,24271.64,97086.56
213,ORD00102,PROD0236,2,7038.57,14077.14
214,ORD00103,PROD0218,1,5238.20,5238.20
215,ORD00103,PROD0191,5,44052.51,220262.55
216,ORD00103,PROD0028,1,316366.34,316366.34
217,ORD00104,PROD0040,1,47715.49,47715.49
218,ORD00105,PROD0173,1,39177.27,39177.27
219,ORD00105,PROD0228,3,6170.81,18512.43
220,ORD00106,PROD0006,4,308912.61,1235650.44
221,ORD00106,PROD0203,4,3538.98,14155.92
222,ORD00107,PROD0140,2,2847.84,5695.68
223,ORD00107,PROD0048,2,10843.12,21686.24
224,ORD00107,PROD0268,4,2944.75,11779.00
225,ORD00107,PROD0194,5,24802.59,124012.95
226,ORD00108,PROD0240,4,10219.29,40877.16
227,ORD00108,PROD0245,4,,
228,ORD00108,PROD0161,2,25829.99,51659.98
229,ORD00109,PROD0172,1,95695.43,95695.43
230,ORD00110,PROD0104,1,,
231,ORD00111,PROD0162,1,2672.21,2672.21
232,ORD00112,PROD0162,3,2672.21,8016.63
233,ORD00112,PROD0201,2,10976.40,21952.80
234,ORD00113,PROD0077,1,20510.26,20510.26
235,ORD00114,PROD0048,2,10843.12,21686.24
236,ORD00114,PROD0119,2,47472.78,94945.56
237,ORD00115,PROD0068,3,43176.46,129529.38
238,ORD00115,PROD0174,3,110640.11,331920.33
239,ORD00116,PROD0107,5,97418.23,487091.15
240,ORD00117,PROD0008,2,121518.49,243036.98
241,ORD00118,PROD0152,2,1904.28,3808.56
242,ORD00119,PROD0243,3,10094.25,30282.75
243,ORD00120,PROD0187,4,28776.04,115104.16
244,ORD00120,PROD0147,4,5055.12,20220.48
245,ORD00121,PROD0192,3,94625.99,283877.97
246,ORD00121,PROD0043,1,16739.67,16739.67
247,ORD00121,PROD0212,5,8757.97,43789.85
248,ORD00121,PROD0260,1,5050.94,5050.94
249,ORD00121,PROD0231,2,6206.49,12412.98
250,ORD00122,PROD0237,1,7201.43,7201.43
251,ORD00123,PROD0204,3,5933.15,17799.45
252,ORD00123,PROD0222,1,2802.33,2802.33
253,ORD00123,PROD0103,3,83304.08,249912.24
254,ORD00123,PROD0206,3,5427.42,16282.26
255,ORD00124,PROD0241,2,1174.07,2348.14
256,ORD00124,PROD0075,3,5182.19,15546.57
257,ORD00125,PROD0243,2,10094.25,20188.50
258,ORD00125,PROD0110,1,23332.73,23332.73
259,ORD00125,PROD0028,4,316366.34,1265465.36
260,ORD00126,PROD0232,4,4469.76,17879.04
261,ORD00127,PROD0153,2,10840.50,21681.00
262,ORD00128,PROD0200,5,29196.20,145981.00
263,ORD00128,PROD0006,5,308912.61,1544563.05
264,ORD00129,PROD0163,2,18374.63,36749.26
265,ORD00129,PROD0008,4,121518.49,486073.96
266,ORD00130,PROD0002,4,102447.74,409790.96
267,ORD00131,PROD0097,4,9141.77,36567.08
268,ORD00132,PROD0008,3,121518.49,364555.47
269,ORD00132,PROD0190,1,22778.54,22778.54
270,ORD00133,PROD0234,4,6463.53,25854.12
271,ORD00133,PROD0212,3,8757.97,26273.91
272,ORD00134,PROD0091,5,141135.80,705679.00
273,ORD00134,PROD0084,4,37258.14,149032.56
274,ORD00135,PROD0051,1,33329.69,33329.69
275,ORD00136,PROD0279,4,962.48,3849.92
276,ORD00136,PROD0052,5,23501.69,117508.45
277,ORD00137,PROD0233,5,10621.64,53108.20
278,ORD00138,PROD0203,3,3538.98,10616.94
279,ORD00138,PROD0004,2,39811.79,79623.58
280,ORD00139,PROD0003,1,49538.31,49538.31
281,ORD00139,PROD0213,1,2985.64,2985.64
282,ORD00140,PROD0221,2,13121.51,26243.02
283,ORD00141,PROD0220,2,11275.57,22551.14
284,ORD00141,PROD0066,4,36291.81,145167.24
285,ORD00141,PROD0200,3,29196.20,87588.60
286,ORD00142,PROD0201,5,10976.40,54882.00
287,ORD00142,PROD0134,2,19220.41,38440.82
288,ORD00143,PROD0279,1,962.48,962.48
289,ORD00144,PROD0275,2,10193.83,20387.66
290,ORD00145,PROD0043,2,16739.67,33479.34
291,ORD00146,PROD0145,3,22657.06,67971.18
292,ORD00147,PROD0252,1,8223.52,8223.52
293,ORD00148,PROD0231,1,6206.49,6206.49
294,ORD00148,PROD0083,2,160848.97,321697.94
295,ORD00148,PROD0093,5,8480.78,42403.90
296,ORD00148,PROD0153,5,10840.50,54202.50
297,ORD00149,PROD0082,3,54346.36,163039.08
298,ORD00149,PROD0268,1,2944.75,2944.75
299,ORD00150,PROD0016,1,256280.50,256280.50
300,ORD00150,PROD0168,2,100026.32,200052.64
301,ORD00150,PROD0071,3,9870.56,29611.68
302,ORD00150,PROD0113,3,145706.19,437118.57
303,ORD00151,PROD0254,4,9824.37,39297.48
304,ORD00152,PROD0160,2,12278.28,24556.56
305,ORD00152,PROD0085,4,89243.32,356973.28
306,ORD00153,PROD0197,2,113579.08,227158.16
307,ORD00153,PROD0220,5,11275.57,56377.85
308,ORD00154,PROD0210,3,14712.50,44137.50
309,ORD00155,PROD0166,4,101932.80,407731.20
310,ORD00156,PROD0161,1,25829.99,25829.99
311,ORD00157,PROD0034,5,272513.12,1362565.60
312,ORD00157,PROD0198,2,57432.47,114864.94
313,ORD00157,PROD0146,1,9207.08,9207.08
314,ORD00157,PROD0109,5,70228.44,351142.20
315,ORD00158,PROD0223,3,7785.89,23357.67
316,ORD00158,PROD0163,2,18374.63,36749.26
317,ORD00159,PROD0232,2,4469.76,8939.52
318,ORD00160,PROD0003,4,49538.31,198153.24
319,ORD00161,PROD0009,1,198883.60,198883.60
320,ORD00162,PROD0178,4,87684.88,350739.52
321,ORD00163,PROD0063,5,35488.70,177443.50
5788,ORD02716,PROD0205,3,,
322,ORD00163,PROD0192,1,94625.99,94625.99
323,ORD00164,PROD0116,2,20859.43,41718.86
324,ORD00164,PROD0088,3,,
325,ORD00164,PROD0046,5,5762.47,28812.35
326,ORD00165,PROD0195,3,24091.13,72273.39
327,ORD00166,PROD0212,5,8757.97,43789.85
328,ORD00166,PROD0229,2,4112.45,8224.90
329,ORD00166,PROD0063,5,35488.70,177443.50
330,ORD00166,PROD0268,4,2944.75,11779.00
331,ORD00167,PROD0136,3,8175.35,24526.05
332,ORD00168,PROD0039,1,257535.23,257535.23
333,ORD00168,PROD0254,2,9824.37,19648.74
334,ORD00169,PROD0271,3,1989.71,5969.13
335,ORD00169,PROD0264,4,4118.15,16472.60
336,ORD00169,PROD0161,2,25829.99,51659.98
337,ORD00170,PROD0263,3,8199.23,24597.69
338,ORD00170,PROD0104,4,,
339,ORD00170,PROD0205,2,,
340,ORD00170,PROD0097,3,9141.77,27425.31
341,ORD00170,PROD0036,5,78738.41,393692.05
342,ORD00171,PROD0236,2,7038.57,14077.14
343,ORD00172,PROD0109,2,70228.44,140456.88
344,ORD00173,PROD0196,4,2511.26,10045.04
345,ORD00174,PROD0266,1,408.26,408.26
346,ORD00174,PROD0222,1,2802.33,2802.33
347,ORD00175,PROD0034,5,272513.12,1362565.60
348,ORD00176,PROD0138,2,15463.10,30926.20
349,ORD00176,PROD0254,2,9824.37,19648.74
350,ORD00176,PROD0106,3,137481.28,412443.84
351,ORD00177,PROD0245,3,,
352,ORD00178,PROD0234,2,6463.53,12927.06
353,ORD00179,PROD0088,5,,
354,ORD00179,PROD0005,1,85978.02,85978.02
355,ORD00179,PROD0181,4,63768.87,255075.48
356,ORD00179,PROD0243,2,10094.25,20188.50
357,ORD00180,PROD0269,2,2989.48,5978.96
358,ORD00180,PROD0258,1,4792.40,4792.40
359,ORD00180,PROD0086,1,49202.47,49202.47
360,ORD00181,PROD0250,3,4620.81,13862.43
361,ORD00182,PROD0248,1,4809.30,4809.30
362,ORD00182,PROD0058,2,14691.81,29383.62
363,ORD00182,PROD0139,4,14201.82,56807.28
364,ORD00182,PROD0266,2,408.26,816.52
365,ORD00183,PROD0185,1,112356.62,112356.62
366,ORD00183,PROD0106,3,137481.28,412443.84
367,ORD00183,PROD0046,5,5762.47,28812.35
368,ORD00183,PROD0100,4,110269.71,441078.84
369,ORD00183,PROD0194,5,24802.59,124012.95
370,ORD00184,PROD0022,5,222156.94,1110784.70
371,ORD00185,PROD0178,2,87684.88,175369.76
372,ORD00185,PROD0148,4,3628.18,14512.72
373,ORD00185,PROD0057,2,24240.82,48481.64
374,ORD00185,PROD0005,5,85978.02,429890.10
375,ORD00185,PROD0256,3,1625.49,4876.47
376,ORD00186,PROD0021,2,34405.68,68811.36
377,ORD00187,PROD0001,1,279610.57,279610.57
378,ORD00188,PROD0045,3,15761.34,47284.02
379,ORD00189,PROD0017,4,257730.40,1030921.60
380,ORD00190,PROD0155,3,17522.15,52566.45
381,ORD00190,PROD0160,5,12278.28,61391.40
382,ORD00190,PROD0089,2,45090.58,90181.16
383,ORD00190,PROD0224,2,607.93,1215.86
384,ORD00191,PROD0193,1,9954.82,9954.82
385,ORD00191,PROD0224,2,607.93,1215.86
386,ORD00192,PROD0211,1,8250.11,8250.11
387,ORD00192,PROD0237,5,7201.43,36007.15
388,ORD00193,PROD0263,5,8199.23,40996.15
389,ORD00193,PROD0192,5,94625.99,473129.95
390,ORD00193,PROD0066,5,36291.81,181459.05
391,ORD00194,PROD0266,4,408.26,1633.04
392,ORD00195,PROD0050,3,26917.21,80751.63
393,ORD00196,PROD0028,5,316366.34,1581831.70
394,ORD00196,PROD0105,2,162358.65,324717.30
395,ORD00197,PROD0103,1,83304.08,83304.08
396,ORD00197,PROD0059,2,35594.97,71189.94
397,ORD00197,PROD0035,5,190414.55,952072.75
398,ORD00198,PROD0228,1,6170.81,6170.81
399,ORD00198,PROD0201,3,10976.40,32929.20
400,ORD00198,PROD0029,4,149660.33,598641.32
401,ORD00199,PROD0225,5,9270.30,46351.50
402,ORD00200,PROD0262,5,3172.89,15864.45
403,ORD00201,PROD0141,4,11608.58,46434.32
404,ORD00201,PROD0201,1,10976.40,10976.40
405,ORD00202,PROD0006,1,308912.61,308912.61
406,ORD00202,PROD0156,5,21374.21,106871.05
407,ORD00203,PROD0235,3,1609.74,4829.22
408,ORD00203,PROD0142,5,8820.60,44103.00
409,ORD00203,PROD0005,5,85978.02,429890.10
410,ORD00203,PROD0082,2,54346.36,108692.72
411,ORD00204,PROD0181,4,63768.87,255075.48
412,ORD00204,PROD0174,2,110640.11,221280.22
413,ORD00205,PROD0093,3,8480.78,25442.34
414,ORD00205,PROD0260,5,5050.94,25254.70
415,ORD00205,PROD0270,5,907.09,4535.45
416,ORD00205,PROD0133,3,23616.92,70850.76
417,ORD00205,PROD0067,5,11627.77,58138.85
418,ORD00206,PROD0244,2,1664.99,3329.98
419,ORD00206,PROD0166,2,101932.80,203865.60
420,ORD00207,PROD0032,1,246601.80,246601.80
421,ORD00207,PROD0129,4,5323.48,21293.92
422,ORD00207,PROD0059,3,35594.97,106784.91
423,ORD00207,PROD0020,5,293010.61,1465053.05
424,ORD00208,PROD0101,4,114695.41,458781.64
425,ORD00208,PROD0130,4,1182.88,4731.52
426,ORD00209,PROD0013,1,337113.25,337113.25
427,ORD00210,PROD0037,2,266180.98,532361.96
428,ORD00210,PROD0175,5,102750.60,513753.00
429,ORD00211,PROD0071,1,9870.56,9870.56
430,ORD00212,PROD0153,4,10840.50,43362.00
431,ORD00212,PROD0052,2,23501.69,47003.38
432,ORD00212,PROD0061,1,6821.26,6821.26
433,ORD00213,PROD0129,2,5323.48,10646.96
434,ORD00213,PROD0200,3,29196.20,87588.60
435,ORD00213,PROD0184,1,48414.15,48414.15
436,ORD00213,PROD0035,5,190414.55,952072.75
437,ORD00214,PROD0280,5,7685.53,38427.65
438,ORD00214,PROD0057,4,24240.82,96963.28
439,ORD00215,PROD0031,1,290316.23,290316.23
440,ORD00215,PROD0072,2,43142.24,86284.48
441,ORD00215,PROD0105,4,162358.65,649434.60
442,ORD00215,PROD0169,1,41598.42,41598.42
443,ORD00216,PROD0042,2,44258.35,88516.70
444,ORD00216,PROD0246,3,5399.76,16199.28
445,ORD00217,PROD0245,3,,
446,ORD00218,PROD0010,1,270434.00,270434.00
447,ORD00218,PROD0247,4,5416.29,21665.16
448,ORD00219,PROD0225,1,9270.30,9270.30
449,ORD00220,PROD0122,2,16203.67,32407.34
450,ORD00220,PROD0119,4,47472.78,189891.12
451,ORD00220,PROD0048,5,10843.12,54215.60
452,ORD00220,PROD0006,5,308912.61,1544563.05
453,ORD00221,PROD0065,4,30524.10,122096.40
454,ORD00222,PROD0067,1,11627.77,11627.77
455,ORD00222,PROD0204,3,5933.15,17799.45
456,ORD00222,PROD0246,5,5399.76,26998.80
457,ORD00222,PROD0063,2,35488.70,70977.40
458,ORD00222,PROD0040,4,47715.49,190861.96
459,ORD00223,PROD0150,3,12003.33,36009.99
460,ORD00223,PROD0126,3,13544.05,40632.15
461,ORD00223,PROD0270,5,907.09,4535.45
462,ORD00224,PROD0041,2,14461.31,28922.62
463,ORD00224,PROD0105,5,162358.65,811793.25
464,ORD00225,PROD0121,4,17176.67,68706.68
465,ORD00226,PROD0197,3,113579.08,340737.24
466,ORD00227,PROD0196,4,2511.26,10045.04
467,ORD00227,PROD0197,1,113579.08,113579.08
468,ORD00228,PROD0278,3,6353.37,19060.11
469,ORD00229,PROD0111,5,2676.03,13380.15
470,ORD00229,PROD0015,4,222324.51,889298.04
471,ORD00229,PROD0175,4,102750.60,411002.40
472,ORD00230,PROD0148,5,3628.18,18140.90
473,ORD00231,PROD0122,3,16203.67,48611.01
474,ORD00231,PROD0068,3,43176.46,129529.38
475,ORD00231,PROD0008,1,121518.49,121518.49
476,ORD00232,PROD0186,3,17418.14,52254.42
477,ORD00232,PROD0138,5,15463.10,77315.50
478,ORD00233,PROD0226,4,7172.97,28691.88
479,ORD00233,PROD0005,1,85978.02,85978.02
480,ORD00234,PROD0161,3,25829.99,77489.97
481,ORD00234,PROD0033,3,245627.48,736882.44
482,ORD00234,PROD0226,3,7172.97,21518.91
483,ORD00234,PROD0093,4,8480.78,33923.12
484,ORD00235,PROD0059,1,35594.97,35594.97
485,ORD00236,PROD0117,3,31515.40,94546.20
486,ORD00236,PROD0032,3,246601.80,739805.40
487,ORD00237,PROD0056,1,6299.62,6299.62
488,ORD00238,PROD0213,1,2985.64,2985.64
489,ORD00239,PROD0209,3,2728.52,8185.56
490,ORD00240,PROD0109,3,70228.44,210685.32
491,ORD00241,PROD0194,1,24802.59,24802.59
492,ORD00241,PROD0017,1,257730.40,257730.40
493,ORD00241,PROD0077,2,20510.26,41020.52
494,ORD00241,PROD0196,5,2511.26,12556.30
495,ORD00242,PROD0271,5,1989.71,9948.55
496,ORD00242,PROD0027,5,26206.57,131032.85
497,ORD00242,PROD0242,4,5755.30,23021.20
498,ORD00243,PROD0186,2,17418.14,34836.28
499,ORD00244,PROD0181,5,63768.87,318844.35
500,ORD00245,PROD0065,2,30524.10,61048.20
501,ORD00245,PROD0276,4,6563.88,26255.52
502,ORD00246,PROD0076,2,27116.85,54233.70
503,ORD00246,PROD0254,2,9824.37,19648.74
504,ORD00247,PROD0241,1,1174.07,1174.07
505,ORD00247,PROD0052,4,23501.69,94006.76
506,ORD00247,PROD0065,1,30524.10,30524.10
507,ORD00248,PROD0217,5,7092.62,35463.10
508,ORD00248,PROD0182,2,33297.75,66595.50
509,ORD00248,PROD0066,3,36291.81,108875.43
510,ORD00248,PROD0206,1,5427.42,5427.42
511,ORD00249,PROD0024,1,321716.92,321716.92
512,ORD00250,PROD0245,2,,
513,ORD00251,PROD0004,5,39811.79,199058.95
514,ORD00252,PROD0050,2,26917.21,53834.42
515,ORD00253,PROD0219,3,14849.13,44547.39
516,ORD00253,PROD0147,4,5055.12,20220.48
517,ORD00254,PROD0143,1,13171.72,13171.72
518,ORD00254,PROD0161,3,25829.99,77489.97
519,ORD00255,PROD0133,2,23616.92,47233.84
520,ORD00255,PROD0055,1,42567.03,42567.03
521,ORD00255,PROD0119,2,47472.78,94945.56
522,ORD00255,PROD0143,5,13171.72,65858.60
523,ORD00256,PROD0277,1,9657.13,9657.13
524,ORD00256,PROD0276,3,6563.88,19691.64
525,ORD00256,PROD0100,2,110269.71,220539.42
526,ORD00256,PROD0004,3,39811.79,119435.37
527,ORD00256,PROD0251,5,5175.86,25879.30
528,ORD00257,PROD0222,3,2802.33,8406.99
529,ORD00257,PROD0253,1,8743.34,8743.34
530,ORD00258,PROD0168,3,100026.32,300078.96
531,ORD00258,PROD0081,3,110991.10,332973.30
532,ORD00258,PROD0260,4,5050.94,20203.76
533,ORD00259,PROD0020,3,293010.61,879031.83
534,ORD00259,PROD0222,2,2802.33,5604.66
535,ORD00259,PROD0052,5,23501.69,117508.45
536,ORD00259,PROD0267,1,6230.11,6230.11
537,ORD00260,PROD0136,2,8175.35,16350.70
538,ORD00260,PROD0241,4,1174.07,4696.28
539,ORD00261,PROD0110,5,23332.73,116663.65
